Species,Category,Location,Date,Number
blackbird,Birds,Bagley Wood,23/11/1996,0
blackbird,Birds,Bagley Wood,24/11/1996,0
blackbird,Birds,Bagley Wood,28/11/1996,0
blackbird,Birds,Bagley Wood,29/11/1996,0
blackbird,Birds,Bagley Wood,30/11/1996,0
blackbird,Birds,Bagley Wood,01/12/1996,0
blackbird,Birds,Bagley Wood,07/12/1996,0
blackbird,Birds,Bagley Wood,08/12/1996,0
blackbird,Birds,Bagley Wood,14/12/1996,0
